Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,5-6h,0-1km;14.15;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,6-7h,0-1km;15.05;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,7-8h,0-1km;15.95;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,8-9h,0-1km;16.84;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,9-10h,0-1km;17.74;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,10-11h,0-1km;18.64;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,11-12h,0-1km;19.54;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,>12h,0-1km;19.99;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,0-1h,1-2km;10.91;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,1-2h,1-2km;11.92;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,2-3h,1-2km;12.93;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,3-4h,1-2km;13.95;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,4-5h,1-2km;14.96;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,5-6h,1-2km;15.98;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,6-7h,1-2km;16.99;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,7-8h,1-2km;18.00;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,8-9h,1-2km;19.02;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,9-10h,1-2km;20.03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,10-11h,1-2km;21.04;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,11-12h,1-2km;22.06;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);CO;Urban;Tÿ,>12h,1-2km;22.56;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,0-1h,0-1km;5.6452127173543e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,1-2h,0-1km;5.408083088696e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,2-3h,0-1km;5.16806449741125e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,3-4h,0-1km;4.925103392452e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,4-5h,0-1km;4.67915320768952e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,5-6h,0-1km;4.43015201017261e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,6-7h,0-1km;4.17804718017578e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,7-8h,0-1km;3.92277631908655e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,8-9h,0-1km;3.66428098641336e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,9-10h,0-1km;3.40250413864851e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,10-11h,0-1km;3.1373742967844e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,11-12h,0-1km;2.86883278749883e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,>12h,0-1km;2.73337378166616e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,0-1h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,1-2h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,2-3h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,3-4h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,4-5h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,5-6h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,6-7h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,7-8h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,8-9h,1-2km;9.95054375380278e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,9-10h,1-2km;9.22685582190752e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,10-11h,1-2km;8.49486980587244e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,11-12h,1-2km;7.75445345789194e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NO2;Urban;Tÿ,>12h,1-2km;7.38129951059818e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,0-1h,0-1km;0.46;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,1-2h,0-1km;0.45;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,2-3h,0-1km;0.44;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,3-4h,0-1km;0.43;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,4-5h,0-1km;0.41;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,5-6h,0-1km;0.40;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,6-7h,0-1km;0.39;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,7-8h,0-1km;0.38;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,8-9h,0-1km;0.37;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,9-10h,0-1km;0.36;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,10-11h,0-1km;0.35;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,11-12h,0-1km;0.33;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,>12h,0-1km;0.33;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,0-1h,1-2km;0.81;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,1-2h,1-2km;0.79;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,2-3h,1-2km;0.77;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,3-4h,1-2km;0.74;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,4-5h,1-2km;0.72;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,5-6h,1-2km;0.70;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,6-7h,1-2km;0.68;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,7-8h,1-2km;0.65;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,8-9h,1-2km;0.63;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,9-10h,1-2km;0.61;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,10-11h,1-2km;0.59;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,11-12h,1-2km;0.57;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NOx;Urban;Tÿ,>12h,1-2km;0.55;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,0-1h,0-1km;3.55342356488109e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,1-2h,0-1km;3.85183398611844e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,2-3h,0-1km;4.16246568784118e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,3-4h,0-1km;4.48608212172985e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,4-5h,0-1km;4.82351519167423e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,5-6h,0-1km;5.17566641792655e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,6-7h,0-1km;5.54352113977075e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,7-8h,0-1km;5.92814804986119e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,8-9h,0-1km;6.33072247728705e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,9-10h,0-1km;6.75252405926585e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,10-11h,0-1km;7.19496561214328e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,11-12h,0-1km;7.65959452837706e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,>12h,0-1km;7.89998099207878e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,0-1h,1-2km;9.93735529482365e-03;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,1-2h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,2-3h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,3-4h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,4-5h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,5-6h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,6-7h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,7-8h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,8-9h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,9-10h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,10-11h,1-2km;0.01;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,11-12h,1-2km;0.02;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);PM;Urban;Tÿ,>12h,1-2km;0.02;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,0-1h,0-1km;2.07;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,1-2h,0-1km;2.20;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,2-3h,0-1km;2.33;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,3-4h,0-1km;2.46;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,4-5h,0-1km;2.59;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,5-6h,0-1km;2.72;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,6-7h,0-1km;2.85;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,7-8h,0-1km;2.98;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,8-9h,0-1km;3.11;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,9-10h,0-1km;3.24;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,10-11h,0-1km;3.37;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,11-12h,0-1km;3.50;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,>12h,0-1km;3.57;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,0-1h,1-2km;2.23;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,1-2h,1-2km;2.37;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,2-3h,1-2km;2.51;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,3-4h,1-2km;2.65;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,4-5h,1-2km;2.79;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,5-6h,1-2km;2.93;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,6-7h,1-2km;3.07;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,7-8h,1-2km;3.20;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,8-9h,1-2km;3.34;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,9-10h,1-2km;3.48;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,10-11h,1-2km;3.62;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,11-12h,1-2km;3.76;
2005ColdAverage[3.1];HGV;2005;"BAU" (D);NMHC;Urban;Tÿ,>12h,1-2km;3.83;
